,location,total_cases,total_deaths,total_vaccinations
0,Afghanistan,59745.0,2625.0,0.0
1,Albania,131085.0,2394.0,347702.0
2,Algeria,122108.0,3253.0,30.0
3,Andorra,13232.0,125.0,4802.0
4,Angola,26652.0,596.0,0.0
5,Anguilla,0.0,0.0,1421.0
6,Antigua and Barbuda,1232.0,32.0,225.0
7,Argentina,2977363.0,63865.0,7391255.0
8,Armenia,216064.0,4108.0,0.0
9,Aruba,0.0,0.0,32484.0
10,Australia,29811.0,910.0,2179544.0
11,Austria,618870.0,10205.0,3131496.0
12,Azerbaijan,319109.0,4517.0,673945.0
13,Bahamas,10453.0,199.0,6890.0
14,Bahrain,176934.0,646.0,787462.0
15,Bangladesh,759132.0,11450.0,3256697.0
16,Barbados,3855.0,44.0,69286.0
17,Belarus,358738.0,2542.0,0.0
18,Belgium,990229.0,24230.0,3823308.0
19,Belize,12668.0,323.0,21217.0
20,Benin,7821.0,99.0,0.0
21,Bermuda,0.0,0.0,0.0
22,Bhutan,1074.0,1.0,480422.0
23,Bolivia,303732.0,12951.0,746117.0
24,Bosnia and Herzegovina,198461.0,8551.0,0.0
25,Botswana,46934.0,712.0,0.0
26,Brazil,14659011.0,403781.0,38998810.0
27,Brunei,224.0,3.0,340.0
28,Bulgaria,404380.0,16399.0,812216.0
29,Burkina Faso,13310.0,157.0,0.0
30,Burundi,3995.0,6.0,0.0
31,Cambodia,13402.0,93.0,2028715.0
32,Cameroon,72250.0,1107.0,400.0
33,Canada,1228367.0,24220.0,13420143.0
34,Cape Verde,23882.0,217.0,0.0
35,Cayman Islands,0.0,0.0,9241.0
36,Central African Republic,6411.0,88.0,0.0
37,Chad,4817.0,170.0,0.0
38,Chile,1198245.0,26353.0,14766907.0
39,China,101946.0,4828.0,184604000.0
40,Colombia,2859724.0,73720.0,4170865.0
41,Comoros,3834.0,146.0,0.0
42,Congo,10678.0,144.0,0.0
43,Costa Rica,250991.0,3231.0,0.0
44,Cote d'Ivoire,46036.0,286.0,110682.0
45,Croatia,332183.0,7081.0,425442.0
46,Cuba,106707.0,644.0,0.0
47,Curacao,0.0,0.0,54841.0
48,Cyprus,65233.0,308.0,9677.0
49,Czechia,1630758.0,29267.0,3155171.0
50,Democratic Republic of Congo,29853.0,766.0,0.0
51,Denmark,251249.0,2484.0,1969946.0
52,Djibouti,11100.0,143.0,0.0
53,Dominica,174.0,0.0,5034.0
54,Dominican Republic,266561.0,3480.0,723116.0
55,Ecuador,381862.0,18631.0,505463.0
56,Egypt,227552.0,13339.0,0.0
57,El Salvador,69198.0,2124.0,587695.0
58,Equatorial Guinea,7694.0,112.0,0.0
59,Eritrea,3671.0,10.0,0.0
60,Estonia,122019.0,1161.0,459286.0
61,Eswatini,18458.0,671.0,1365.0
62,Ethiopia,257442.0,3688.0,0.0
63,Faeroe Islands,0.0,0.0,6329.0
64,Falkland Islands,0.0,0.0,0.0
65,Fiji,117.0,2.0,28295.0
66,Finland,86808.0,914.0,1417386.0
67,France,5677835.0,104675.0,21518848.0
68,Gabon,23075.0,139.0,0.0
69,Gambia,5898.0,174.0,0.0
70,Georgia,310310.0,4110.0,20690.0
71,Germany,3405365.0,83097.0,28750109.0
72,Ghana,92562.0,779.0,120680.0
73,Gibraltar,0.0,0.0,61357.0
74,Greece,345033.0,10381.0,2637260.0
75,Greenland,0.0,0.0,3675.0
76,Grenada,160.0,1.0,343.0
77,Guatemala,227671.0,7524.0,149224.0
78,Guernsey,0.0,0.0,0.0
79,Guinea,22215.0,144.0,27216.0
80,Guinea-Bissau,3734.0,67.0,0.0
81,Guyana,13283.0,296.0,0.0
82,Haiti,13056.0,254.0,0.0
83,Honduras,212333.0,5281.0,21470.0
84,Hong Kong,0.0,0.0,1413576.0
85,Hungary,779348.0,27540.0,5419479.0
86,Iceland,6472.0,29.0,48293.0
87,India,19164969.0,211853.0,142586233.0
88,Indonesia,1668368.0,45521.0,12342087.0
89,Iran,2499077.0,71758.0,204060.0
90,Iraq,1065199.0,15465.0,9985.0
91,Ireland,248870.0,4903.0,1059502.0
92,Isle of Man,0.0,0.0,45192.0
93,Israel,838481.0,6363.0,10497294.0
94,Italy,4022653.0,120807.0,19941892.0
95,Jamaica,45578.0,778.0,3784.0
96,Japan,593262.0,10199.0,2507831.0
97,Jersey,0.0,0.0,0.0
98,Jordan,711373.0,8836.0,0.0
99,Kazakhstan,375539.0,3334.0,488791.0
100,Kenya,159318.0,2724.0,81900.0
101,Kosovo,103638.0,2134.0,1800.0
102,Kuwait,273991.0,1563.0,0.0
103,Kyrgyzstan,95275.0,1604.0,0.0
104,Laos,757.0,0.0,10505.0
105,Latvia,118558.0,2131.0,305809.0
106,Lebanon,526578.0,7278.0,383770.0
107,Lesotho,10731.0,316.0,0.0
108,Liberia,2099.0,85.0,0.0
109,Libya,177508.0,3029.0,0.0
110,Liechtenstein,2926.0,57.0,12219.0
111,Lithuania,247269.0,3923.0,967751.0
112,Luxembourg,67205.0,796.0,124967.0
113,Macao,0.0,0.0,91311.0
114,Madagascar,37014.0,643.0,0.0
115,Malawi,34078.0,1148.0,173685.0
116,Malaysia,408713.0,1506.0,1396412.0
117,Maldives,29835.0,73.0,376996.0
118,Mali,13858.0,484.0,0.0
119,Malta,30292.0,413.0,317491.0
120,Marshall Islands,4.0,0.0,0.0
121,Mauritania,18402.0,455.0,0.0
122,Mauritius,1209.0,17.0,0.0
123,Mexico,2344755.0,216907.0,16198567.0
124,Micronesia (country),1.0,0.0,0.0
125,Moldova,250837.0,5812.0,92930.0
126,Monaco,2454.0,32.0,0.0
127,Mongolia,37285.0,115.0,644306.0
128,Montenegro,97389.0,1495.0,55684.0
129,Montserrat,0.0,0.0,0.0
130,Morocco,511249.0,9023.0,7420358.0
131,Mozambique,69917.0,814.0,0.0
132,Myanmar,142817.0,3209.0,3800.0
133,Namibia,48351.0,642.0,10585.0
134,Nauru,0.0,0.0,168.0
135,Nepal,323187.0,3279.0,232902.0
136,Netherlands,1522973.0,17398.0,168950.0
137,New Zealand,2613.0,26.0,232587.0
138,Nicaragua,6898.0,182.0,0.0
139,Niger,5228.0,191.0,0.0
140,Nigeria,165110.0,2063.0,233100.0
141,North Macedonia,152367.0,4855.0,25166.0
142,Northern Cyprus,0.0,0.0,0.0
143,Norway,112970.0,756.0,1700780.0
144,Oman,193253.0,2010.0,73317.0
145,Pakistan,825519.0,17957.0,800000.0
146,Palestine,296462.0,3249.0,114914.0
147,Panama,364576.0,6232.0,512239.0
148,Papua New Guinea,10997.0,107.0,0.0
149,Paraguay,279077.0,6385.0,103055.0
150,Peru,1799445.0,61477.0,1590804.0
151,Philippines,1037460.0,17234.0,544654.0
152,Poland,2792142.0,67502.0,6641492.0
153,Portugal,836493.0,16974.0,3279022.0
154,Qatar,205652.0,458.0,961590.0
155,Romania,1055265.0,28109.0,5160875.0
156,Russia,4750755.0,108290.0,11278710.0
157,Rwanda,25116.0,335.0,274145.0
158,Saint Helena,0.0,0.0,0.0
159,Saint Kitts and Nevis,44.0,0.0,299.0
160,Saint Lucia,4552.0,74.0,1382.0
161,Saint Vincent and the Grenadines,1864.0,11.0,0.0
162,Samoa,3.0,0.0,0.0
163,San Marino,5066.0,90.0,17180.0
164,Sao Tome and Principe,2302.0,35.0,0.0
165,Saudi Arabia,417363.0,6957.0,8338361.0
166,Senegal,40344.0,1107.0,315620.0
167,Serbia,689557.0,6362.0,1846464.0
168,Seychelles,5873.0,28.0,41548.0
169,Sierra Leone,4054.0,79.0,7981.0
170,Singapore,61145.0,30.0,55206.0
171,Slovakia,382211.0,11684.0,1574773.0
172,Slovenia,240292.0,4250.0,624671.0
173,Solomon Islands,20.0,0.0,0.0
174,Somalia,13915.0,713.0,0.0
175,South Africa,1581210.0,54350.0,283606.0
176,South Korea,122633.0,1831.0,3488151.0
177,South Sudan,10583.0,115.0,0.0
178,Spain,3524077.0,78216.0,11823634.0
179,Sri Lanka,108146.0,678.0,885002.0
180,Sudan,33944.0,2349.0,20715.0
181,Suriname,10363.0,204.0,11930.0
182,Sweden,973604.0,14048.0,247628.0
183,Switzerland,659974.0,10632.0,2432104.0
184,Syria,22733.0,1592.0,0.0
185,Taiwan,1127.0,12.0,53422.0
186,Tajikistan,13308.0,90.0,0.0
187,Tanzania,509.0,21.0,0.0
188,Thailand,65149.0,203.0,1272652.0
189,Timor,2276.0,3.0,0.0
190,Togo,12967.0,123.0,0.0
191,Tonga,0.0,0.0,0.0
192,Trinidad and Tobago,10824.0,169.0,29368.0
193,Tunisia,309119.0,10722.0,291423.0
194,Turkey,3997366.0,40131.0,22520290.0
195,Turks and Caicos Islands,0.0,0.0,0.0
196,Uganda,41866.0,342.0,242613.0
197,Ukraine,2124070.0,45923.0,654669.0
198,United Arab Emirates,520236.0,1587.0,9474906.0
199,United Kingdom,4432246.0,127775.0,46070991.0
200,United States,32346970.0,576232.0,227590819.0
201,Uruguay,198428.0,2616.0,1833763.0
202,Uzbekistan,90808.0,649.0,78652.0
203,Vanuatu,4.0,1.0,0.0
204,Vatican,27.0,0.0,0.0
205,Venezuela,197683.0,2136.0,0.0
206,Vietnam,2928.0,35.0,506435.0
207,Yemen,6317.0,1226.0,0.0
208,Zambia,91586.0,1251.0,15994.0
209,Zimbabwe,38257.0,1567.0,499028.0
